ID Log,Timestamp,Server ID,CPU Usage (%),Memory Usage (%),Disk Usage (%),Response Time (ms),Error Code,Status Layanan
LOG0001,2025-07-29 17:12,SRV002,65.06,97.66,13.94,107.33,404.0,Timeout
LOG0002,2025-07-28 20:43,SRV008,98.92,53.79,33.15,276.21,504.0,Normal
LOG0003,2025-07-13 02:57,SRV011,81.67,2.35,10.86,405.63,404.0,Down
LOG0004,2025-06-29 16:25,SRV010,69.15,71.88,11.33,824.43,502.0,Timeout
LOG0005,2025-06-26 18:08,SRV015,48.42,6.2,79.4,59.64,404.0,Normal
LOG0006,2025-06-15 05:21,SRV011,31.92,29.59,29.76,643.9,504.0,Timeout
LOG0007,2025-06-14 23:22,SRV015,9.51,20.28,18.83,971.03,503.0,Down
LOG0008,2025-07-24 23:38,SRV007,89.58,56.42,50.84,338.28,502.0,Down
LOG0009,2025-06-26 00:07,SRV015,29.92,98.52,58.1,257.0,200.0,Timeout
LOG0010,2025-07-13 01:08,SRV004,38.32,98.38,69.41,499.67,500.0,Normal
LOG0011,2025-06-07 12:42,SRV009,18.26,69.64,99.61,585.18,502.0,Timeout
LOG0012,2025-06-19 13:29,SRV010,5.87,1.47,94.02,306.76,404.0,Degraded
LOG0013,2025-06-29 06:16,SRV005,64.51,39.16,59.1,391.42,404.0,Normal
LOG0014,2025-07-21 19:58,SRV008,23.78,42.55,53.59,289.57,500.0,Normal
LOG0015,2025-06-09 09:59,SRV015,77.88,22.61,17.33,225.47,200.0,Normal
LOG0016,2025-07-20 23:56,SRV005,83.58,94.71,82.1,595.79,502.0,Down
LOG0017,2025-06-07 05:22,SRV017,4.38,73.35,38.38,894.16,200.0,Timeout
LOG0018,2025-06-19 13:24,SRV013,7.01,69.88,64.51,397.9,200.0,Timeout
LOG0019,2025-07-29 00:38,SRV004,95.54,57.14,30.82,773.35,200.0,Timeout
LOG0020,2025-06-13 12:49,SRV007,20.14,64.31,3.44,151.16,200.0,Timeout
LOG0021,2025-06-05 05:25,SRV016,13.86,57.47,11.33,749.53,200.0,Down
LOG0022,2025-07-30 14:35,SRV002,21.08,99.01,40.53,729.67,504.0,Degraded
LOG0023,2025-06-19 16:57,SRV011,2.2,17.64,35.16,878.77,500.0,Timeout
LOG0024,2025-07-20 05:29,SRV016,59.32,40.38,64.23,108.04,504.0,Down
