ID,Tanggal,Pelabuhan,Cuaca,Shift Kerja,Permintaan Barang (Kontainer),ETA (jam),Ketersediaan Armada
1,2025-07-07,Bitung,Badai,Siang,441,41.21,13
2,2025-06-20,Tanjung Perak,Hujan Ringan,Pagi,783,39.59,97
3,2025-07-05,Tanjung Priok,Badai,Siang,759,30.08,106
4,2025-07-25,Tanjung Perak,Hujan Deras,Siang,915,22.7,55
5,2025-06-27,Tanjung Perak,Badai,Pagi,149,33.0,132
6,2025-07-17,Tanjung Perak,Badai,Malam,221,10.65,141
7,2025-07-30,Bitung,Hujan Deras,Pagi,186,14.2,125
8,2025-07-26,Tanjung Perak,Badai,Pagi,925,28.55,26
9,2025-07-25,Belawan,Cerah,Pagi,130,43.3,123
10,2025-06-21,Tanjung Priok,Berawan,Pagi,723,38.86,193
11,2025-07-28,Bitung,Berawan,Malam,147,48.95,15
12,2025-06-27,Belawan,Hujan Ringan,Malam,758,35.97,198
13,2025-07-24,Tanjung Priok,Cerah,Siang,783,25.32,168
14,2025-07-14,Makassar,Berawan,Malam,737,17.06,161
15,2025-06-02,Makassar,Hujan Ringan,Malam,358,22.38,147
16,2025-07-07,Makassar,Hujan Ringan,Malam,740,37.51,132
17,2025-06-26,Makassar,Hujan Ringan,Pagi,915,45.89,79
18,2025-07-07,Belawan,Cerah,Pagi,397,27.22,106
19,2025-06-25,Belawan,Hujan Ringan,Pagi,218,11.14,85
20,2025-07-21,Makassar,Hujan Ringan,Malam,729,30.65,136
21,2025-06-15,Tanjung Priok,Hujan Deras,Pagi,341,40.29,61
22,2025-06-17,Makassar,Berawan,Malam,604,25.89,50
23,2025-06-12,Tanjung Priok,Berawan,Malam,236,15.08,15
24,2025-06-07,Tanjung Perak,Hujan Deras,Pagi,896,19.13,27
25,2025-06-04,Tanjung Perak,Hujan Ringan,Pagi,327,32.71,111
26,2025-07-30,Belawan,Hujan Ringan,Malam,260,22.42,161
27,2025-06-15,Tanjung Priok,Hujan Deras,Malam,862,10.16,59
28,2025-06-03,Belawan,Badai,Malam,663,30.35,123
29,2025-06-05,Tanjung Priok,Badai,Pagi,160,30.8,39
30,2025-07-22,Makassar,Badai,Malam,738,17.82,138
31,2025-06-15,Belawan,Hujan Deras,Malam,416,48.4,16
32,2025-06-11,Tanjung Perak,Hujan Deras,Pagi,810,47.59,117
33,2025-07-20,Tanjung Perak,Hujan Ringan,Siang,172,34.43,74
34,2025-06-18,Makassar,Hujan Deras,Siang,904,40.27,30
35,2025-06-09,Tanjung Priok,Badai,Siang,336,38.98,176
36,2025-06-12,Makassar,Cerah,Pagi,877,37.23,148
37,2025-07-23,Bitung,Hujan Ringan,Siang,798,29.06,18
38,2025-06-05,Tanjung Perak,Berawan,Siang,287,26.45,122
39,2025-07-09,Belawan,Hujan Deras,Pagi,168,31.25,119
40,2025-06-18,Makassar,Cerah,Pagi,243,22.4,107
41,2025-06-05,Bitung,Badai,Pagi,484,34.81,183
42,2025-07-03,Bitung,Hujan Deras,Pagi,883,45.32,81
43,2025-07-30,Makassar,Cerah,Pagi,605,46.79,26
44,2025-06-11,Belawan,Hujan Ringan,Malam,315,32.84,54
45,2025-07-13,Bitung,Hujan Deras,Malam,594,36.17,190
46,2025-07-26,Tanjung Perak,Badai,Pagi,745,32.73,22
47,2025-06-09,Belawan,Cerah,Malam,864,31.77,93
48,2025-06-19,Tanjung Priok,Cerah,Siang,577,27.58,16
49,2025-06-05,Tanjung Priok,Badai,Pagi,389,49.96,100
50,2025-06-23,Bitung,Hujan Ringan,Pagi,296,43.11,54
51,2025-07-18,Bitung,Cerah,Pagi,691,17.7,26
52,2025-06-22,Belawan,Cerah,Siang,690,11.04,51
53,2025-07-17,Belawan,Badai,Pagi,952,39.72,153
54,2025-07-29,Makassar,Badai,Pagi,598,45.62,63
55,2025-06-22,Tanjung Priok,Cerah,Siang,656,32.37,169
56,2025-06-30,Makassar,Hujan Ringan,Siang,469,13.64,121
57,2025-06-27,Belawan,Badai,Siang,330,40.61,23
58,2025-06-14,Bitung,Cerah,Siang,975,47.15,196
59,2025-07-20,Tanjung Perak,Hujan Deras,Pagi,835,41.35,137
60,2025-07-23,Makassar,Cerah,Siang,466,13.83,166
61,2025-07-05,Tanjung Perak,Badai,Pagi,337,10.09,102
62,2025-06-24,Belawan,Berawan,Pagi,247,15.62,179
63,2025-07-24,Bitung,Cerah,Siang,285,14.35,107
64,2025-06-12,Tanjung Perak,Berawan,Siang,852,27.64,172
65,2025-07-29,Tanjung Priok,Berawan,Pagi,135,18.91,75
66,2025-07-19,Makassar,Hujan Ringan,Siang,992,48.39,72
67,2025-07-30,Tanjung Priok,Cerah,Pagi,701,33.7,10
68,2025-06-12,Tanjung Priok,Berawan,Malam,415,35.67,48
69,2025-06-24,Belawan,Cerah,Pagi,840,30.73,21
70,2025-07-16,Makassar,Badai,Pagi,444,26.4,180
71,2025-07-22,Tanjung Perak,Badai,Siang,625,41.48,38
72,2025-07-23,Tanjung Priok,Cerah,Malam,550,30.05,144
73,2025-07-03,Tanjung Perak,Cerah,Malam,163,36.89,53
74,2025-06-26,Makassar,Cerah,Malam,752,22.74,54
75,2025-06-25,Bitung,Berawan,Siang,121,36.96,163
76,2025-07-03,Tanjung Priok,Cerah,Pagi,999,15.24,138
77,2025-06-09,Makassar,Berawan,Malam,537,38.57,88
78,2025-07-14,Belawan,Hujan Deras,Siang,211,37.05,23
79,2025-06-14,Bitung,Badai,Siang,762,34.58,13
80,2025-06-19,Makassar,Hujan Ringan,Siang,470,49.53,17
81,2025-06-22,Bitung,Cerah,Siang,433,22.98,189
82,2025-06-18,Bitung,Hujan Deras,Pagi,972,32.65,13
83,2025-06-04,Tanjung Priok,Hujan Deras,Pagi,459,21.38,157
84,2025-06-11,Tanjung Perak,Badai,Pagi,348,43.99,113
85,2025-07-08,Belawan,Badai,Malam,167,37.78,79
86,2025-07-12,Tanjung Perak,Hujan Deras,Siang,661,45.52,94
87,2025-06-24,Tanjung Perak,Berawan,Pagi,395,32.62,147
88,2025-06-30,Belawan,Hujan Deras,Malam,915,44.77,149
89,2025-06-06,Belawan,Berawan,Pagi,406,23.33,40
90,2025-07-09,Makassar,Cerah,Pagi,341,29.09,171
91,2025-07-05,Tanjung Perak,Hujan Deras,Pagi,745,49.19,38
92,2025-07-29,Tanjung Perak,Hujan Deras,Pagi,506,40.21,147
93,2025-06-25,Tanjung Perak,Badai,Pagi,520,40.04,114
94,2025-06-30,Tanjung Perak,Berawan,Siang,827,27.41,108
95,2025-06-07,Makassar,Berawan,Pagi,339,47.24,38
